event_id,session_id,user_id,event_time,event_type,page_type,device_type,location,value,user_agent,referrer
event_000000,session_004698,user_0976,2024-09-24 10:53:58,signup,product,mobile,BR,10.342495500626391,Mozilla/5.0 (mobile) Browser/1.0,facebook.com
event_000001,session_000020,user_0952,2024-07-28 11:05:18,purchase,home,tablet,DE,0.0,Mozilla/5.0 (tablet) Browser/1.0,email
event_000002,session_003047,user_0750,2024-04-16 20:42:26,purchase,home,desktop,UK,0.0,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000003,session_004111,user_0391,2024-06-28 08:25:34,logout,product,desktop,AU,0.0,Mozilla/5.0 (desktop) Browser/1.0,facebook.com
event_000004,session_001629,user_0997,2024-04-06 14:22:00,logout,support,mobile,US,0.0,Mozilla/5.0 (mobile) Browser/1.0,direct
event_000005,session_000376,user_0098,2024-07-15 07:02:29,add_to_cart,about,tablet,AU,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000006,session_004621,user_0490,2024-08-11 05:33:14,add_to_cart,profile,tablet,MX,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000007,session_002380,user_0399,2024-08-23 19:00:57,page_view,blog,desktop,IN,0.0,Mozilla/5.0 (desktop) Browser/1.0,direct
event_000008,session_003943,user_0129,2024-09-22 07:35:31,scroll,blog,tablet,FR,0.0,Mozilla/5.0 (tablet) Browser/1.0,twitter.com
event_000009,session_000320,user_0870,2024-05-13 05:55:17,login,product,desktop,CA,54.05795418616018,Mozilla/5.0 (desktop) Browser/1.0,twitter.com
event_000010,session_002665,user_0079,2024-03-21 00:40:03,add_to_cart,checkout,mobile,DE,48.44308384049734,Mozilla/5.0 (mobile) Browser/1.0,twitter.com
event_000011,session_002947,user_0993,2024-02-04 23:20:46,scroll,home,tablet,MX,0.0,Mozilla/5.0 (tablet) Browser/1.0,facebook.com
event_000012,session_002360,user_0186,2024-05-29 10:41:01,page_view,search,mobile,US,5.926719895906385,Mozilla/5.0 (mobile) Browser/1.0,direct
event_000013,session_002481,user_0099,2024-09-10 02:20:03,purchase,product,tablet,DE,0.0,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000014,session_004284,user_0308,2024-02-26 16:42:51,click,support,mobile,MX,0.0,Mozilla/5.0 (mobile) Browser/1.0,google.com
event_000015,session_000704,user_0290,2024-10-25 05:55:44,login,support,tablet,MX,0.0,Mozilla/5.0 (tablet) Browser/1.0,google.com
event_000016,session_001892,user_0051,2024-01-13 05:12:54,signup,home,mobile,AU,0.0,Mozilla/5.0 (mobile) Browser/1.0,direct
