session_id,user_id,session_start,session_duration,device_type,location,pages_visited,revenue
session_000000,user_0655,2024-02-13 05:40:50,132,tablet,FR,4,370.8708949403661
session_000001,user_0090,2024-08-17 07:47:20,1758,desktop,US,2,0.0
session_000002,user_0734,2024-09-09 09:21:43,2902,tablet,AU,4,0.0
session_000003,user_0715,2024-06-13 03:03:06,1423,mobile,CA,4,0.0
session_000004,user_0368,2024-11-25 03:13:12,1438,tablet,FR,13,0.0
session_000005,user_0081,2024-08-02 09:23:29,1230,tablet,MX,15,0.0
session_000006,user_0678,2024-03-29 12:09:57,3196,mobile,UK,14,0.0
session_000007,user_0167,2024-05-23 18:20:12,1485,desktop,FR,12,0.0
session_000008,user_0547,2024-10-10 03:57:15,1032,desktop,BR,7,0.0
session_000009,user_0702,2024-05-05 22:32:02,3482,desktop,DE,14,0.0
session_000010,user_0936,2024-08-08 06:30:04,2970,mobile,DE,11,0.0
session_000011,user_0272,2024-02-24 05:26:56,1040,tablet,IN,9,0.0
session_000012,user_0371,2024-03-26 04:13:03,596,tablet,BR,2,0.0
session_000013,user_0812,2024-09-21 06:32:40,1759,tablet,UK,7,498.09947631764743
session_000014,user_0882,2024-01-05 11:00:39,2816,tablet,UK,11,0.0
session_000015,user_0115,2024-04-23 23:37:10,1810,desktop,BR,1,439.16794078531507
session_000016,user_0781,2024-03-10 09:09:22,2109,desktop,FR,14,0.0
session_000017,user_0553,2024-10-29 09:19:29,2202,desktop,MX,6,0.0
session_000018,user_0246,2024-01-23 11:54:06,1016,tablet,UK,2,409.8513941758434
session_000019,user_0785,2024-02-18 20:10:22,555,tablet,BR,9,0.0
session_000020,user_0952,2024-07-28 10:36:13,3123,tablet,DE,12,162.74098273743851
session_000021,user_0922,2024-07-20 00:09:23,1879,desktop,DE,4,281.4215459879951
session_000022,user_0226,2024-01-03 19:01:24,320,tablet,US,4,25.392349445978887
session_000023,user_0244,2024-04-18 03:35:46,2770,mobile,DE,9,74.83280587526225
session_000024,user_0249,2024-10-31 17:10:59,1967,mobile,DE,2,57.49609897212343
session_000025,user_0885,2024-10-10 03:28:46,251,tablet,UK,1,0.0
session_000026,user_0197,2024-03-14 20:52:31,2226,mobile,CA,7,0.0
session_000027,user_0454,2024-11-09 19:18:47,3558,tablet,UK,1,0.0
session_000028,user_0949,2024-10-19 15:44:22,3506,desktop,CA,7,0.0
session_000029,user_0169,2024-05-27 04:17:07,38,mobile,FR,15,232.95409999618022
session_000030,user_0678,2024-10-06 00:03:01,2023,desktop,DE,5,0.0
session_000031,user_0766,2024-05-01 19:00:31,264,desktop,MX,8,427.8327471036598
session_000032,user_0083,2024-11-26 15:05:15,791,desktop,MX,2,68.74444083409085
session_000033,user_0253,2024-08-12 19:55:00,2465,desktop,MX,2,0.0
session_000034,user_0210,2024-09-17 02:17:54,2963,mobile,DE,5,0.0
session_000035,user_0952,2024-10-18 23:53:05,327,desktop,BR,10,0.0
session_000036,user_0519,2024-04-12 23:50:49,572,mobile,UK,15,149.6438216961618
session_000037,user_0721,2024-04-27 11:39:50,2535,tablet,IN,1,0.0
session_000038,user_0962,2024-12-07 00:44:11,580,mobile,UK,15,143.45062403426
session_000039,user_0216,2024-10-05 16:37:49,1434,desktop,FR,9,0.0
session_000040,user_0650,2024-06-13 12:00:44,3427,mobile,US,1,0.0
session_000041,user_0760,2024-06-20 14:12:19,2289,tablet,AU,9,0.0
session_000042,user_0559,2024-01-14 23:48:23,3448,mobile,MX,9,0.0
session_000043,user_0921,2024-05-18 23:01:25,890,tablet,DE,11,0.0
session_000044,user_0998,2024-08-29 00:59:04,3099,desktop,DE,14,0.0
session_000045,user_0026,2024-03-10 15:45:45,3046,mobile,AU,13,0.0
session_000046,user_0807,2024-09-29 08:23:11,472,mobile,US,14,0.0
session_000047,user_0313,2024-11-14 15:57:12,3287,desktop,DE,1,0.0
session_000048,user_0991,2024-10-27 07:55:36,1173,mobile,IN,7,0.0
session_000049,user_0119,2024-12-06 14:35:25,1099,desktop,MX,5,0.0
session_000050,user_0447,2024-08-23 10:16:33,2124,desktop,AU,15,0.0
session_000051,user_0533,2024-12-25 10:59:08,3333,tablet,DE,6,461.1777195468397
session_000052,user_0322,2024-09-14 15:13:09,3503,desktop,FR,9,0.0
session_000053,user_0568,2024-02-19 10:24:29,815,mobile,AU,11,0.0
session_000054,user_0562,2024-11-19 18:52:54,31,mobile,FR,4,220.64519349501896
session_000055,user_0453,2024-06-20 17:13:40,2797,desktop,IN,8,0.0
session_000056,user_0291,2024-07-19 04:21:39,2749,tablet,MX,6,0.0
session_000057,user_0231,2024-11-09 05:42:39,845,desktop,US,1,0.0
session_000058,user_0467,2024-06-09 22:52:12,2609,tablet,DE,12,0.0
session_000059,user_0915,2024-10-18 15:29:46,3554,desktop,AU,4,0.0
session_000060,user_0571,2024-04-06 18:41:46,3504,desktop,BR,3,494.06730200255953
session_000061,user_0325,2024-10-20 07:26:25,1842,tablet,IN,7,416.97889316349335
session_000062,user_0461,2024-04-10 15:50:25,3109,desktop,FR,13,391.06066931364614
session_000063,user_0080,2024-10-04 02:43:12,1200,desktop,FR,6,0.0
session_000064,user_0393,2024-09-26 12:04:51,655,tablet,DE,2,0.0
session_000065,user_0212,2024-11-19 11:06:30,1750,mobile,MX,12,19.57065880148629
session_000066,user_0007,2024-05-16 14:37:46,1253,mobile,AU,9,0.0
session_000067,user_0500,2024-03-26 05:09:28,1147,mobile,BR,1,0.0
session_000068,user_0861,2024-06-30 12:23:30,552,tablet,IN,1,0.0
session_000069,user_0659,2024-06-15 10:57:38,585,mobile,CA,1,0.0
session_000070,user_0780,2024-12-07 14:50:20,1582,mobile,AU,5,0.0
session_000071,user_0975,2024-05-15 21:52:00,948,tablet,UK,13,0.0
session_000072,user_0205,2024-11-21 22:10:47,113,tablet,CA,4,0.0
session_000073,user_0477,2024-09-28 15:29:09,1079,mobile,CA,10,0.0
session_000074,user_0988,2024-04-30 19:05:34,472,tablet,US,15,0.0
session_000075,user_0965,2024-10-04 16:25:12,842,desktop,MX,12,0.0
session_000076,user_0871,2024-09-22 17:45:23,2489,desktop,MX,13,0.0
session_000077,user_0519,2024-09-08 11:32:26,1427,desktop,AU,14,250.19883544530006
session_000078,user_0725,2024-02-29 09:58:51,1813,desktop,IN,11,142.3403742298264
session_000079,user_0477,2024-06-18 03:50:54,3412,tablet,MX,5,0.0
session_000080,user_0903,2024-06-24 01:46:45,1028,mobile,MX,10,0.0
session_000081,user_0187,2024-07-08 08:17:41,898,mobile,FR,6,302.1159538893404
session_000082,user_0011,2024-07-19 15:18:53,812,desktop,DE,12,209.14978108855445
session_000083,user_0662,2024-10-03 10:51:07,2040,mobile,US,2,129.219530299611
session_000084,user_0378,2024-07-02 19:06:26,2297,tablet,JP,7,498.3494173400727
session_000085,user_0278,2024-04-29 01:56:00,1059,desktop,UK,12,0.0
session_000086,user_0197,2024-03-25 00:51:03,3055,mobile,FR,12,0.0
session_000087,user_0853,2024-03-16 09:18:25,1243,desktop,JP,3,0.0
session_000088,user_0998,2024-01-22 04:13:09,2296,mobile,CA,11,437.632670149282
session_000089,user_0292,2024-07-01 07:05:47,1990,mobile,JP,3,0.0
session_000090,user_0842,2024-01-26 09:02:41,1671,mobile,UK,10,83.10681639209103
session_000091,user_0972,2024-04-27 23:57:08,378,desktop,UK,9,0.0
session_000092,user_0795,2024-07-21 22:43:44,1588,mobile,BR,5,159.63631971648658
session_000093,user_0062,2024-08-24 18:10:18,3061,desktop,DE,11,0.0
session_000094,user_0566,2024-01-30 03:39:19,671,desktop,AU,8,0.0
session_000095,user_0724,2024-04-19 19:07:34,2909,mobile,UK,11,397.71139507203117
session_000096,user_0678,2024-11-08 04:56:38,840,mobile,UK,9,0.0
session_000097,user_0074,2024-01-24 03:52:00,709,mobile,MX,12,413.87774764680455
session_000098,user_0706,2024-04-28 02:20:07,2896,mobile,FR,9,0.0
session_000099,user_0753,2024-05-05 04:15:17,2502,mobile,US,2,431.6532676804629
session_000100,user_0974,2024-01-09 01:21:41,3162,tablet,FR,10,29.713519840861927
session_000101,user_0939,2024-04-18 00:36:25,773,tablet,AU,11,0.0
session_000102,user_0342,2024-05-04 16:28:47,2774,desktop,CA,6,0.0
session_000103,user_0834,2024-10-22 08:22:17,2283,desktop,BR,2,0.0
session_000104,user_0886,2024-07-18 20:23:04,3408,desktop,IN,8,212.49130969166754
session_000105,user_0641,2024-06-20 16:07:13,3142,desktop,DE,5,279.1176231518125
session_000106,user_0125,2024-01-12 05:04:57,2610,tablet,DE,12,0.0
session_000107,user_0231,2024-11-22 18:28:09,494,mobile,UK,11,254.20399730652568
session_000108,user_0723,2024-04-16 04:30:17,1731,mobile,BR,4,103.39908176448488
session_000109,user_0521,2024-10-16 19:57:02,589,desktop,FR,13,213.3217875401591
session_000110,user_0274,2024-11-14 16:04:31,40,mobile,FR,14,0.0
session_000111,user_0458,2024-07-28 03:56:05,2013,mobile,JP,9,0.0
session_000112,user_0715,2024-04-02 17:49:44,2372,mobile,DE,14,0.0
session_000113,user_0396,2024-09-14 18:01:41,3275,tablet,CA,8,0.0
session_000114,user_0891,2024-02-08 23:27:57,3491,mobile,UK,9,0.0
session_000115,user_0077,2024-07-01 07:58:10,3231,mobile,JP,10,328.41995976384356
session_000116,user_0390,2024-05-02 23:29:45,2597,tablet,BR,14,0.0
